date,ppi_index,yoy_pct,ytd_index
2015-01-01,95.7,-4.3202,95.6798
2015-02-01,95.2,-4.7976,95.4414
2015-03-01,95.4,-4.5603,95.4408
2015-04-01,95.4,-4.5725,95.4375
2015-05-01,95.4,-4.607,95.4286
2015-06-01,95.2,-4.8135,95.3885
2015-07-01,94.6,-5.3692,95.2808
2015-08-01,94.1,-5.9227,95.1312
2015-09-01,94.1,-5.945,95.0127
2015-10-01,94.1,-5.9,94.9
2015-11-01,94.1,-5.9,94.8
2015-12-01,94.1,-5.9,94.8
2016-01-01,94.7,-5.3,94.7204
2016-02-01,95.1,-4.9,94.9
2016-03-01,95.7,-4.3,95.1645
2016-04-01,96.6,-3.4,95.5265
2016-05-01,97.2,-2.8,95.9
2016-06-01,97.4,-2.6,96.1
2016-07-01,98.3,-1.7,96.4
2016-08-01,99.2,-0.8,96.8
2016-09-01,100.1,0.1,97.1
2016-10-01,101.2,1.2,97.5
2016-11-01,103.3,3.3,98.0
2016-12-01,105.5,5.5,98.6
2017-01-01,106.9,6.9,106.9
2017-02-01,107.8,7.8,107.3
2017-03-01,107.6,7.6,107.4
2017-04-01,106.4,6.4,107.2
2017-05-01,105.5,5.5,106.8
2017-06-01,105.5,5.5,106.6
2017-07-01,105.5,5.5,106.4
2017-08-01,106.3,6.3,106.4
2017-09-01,106.9,6.9,106.5
2017-10-01,106.9,6.9,106.5
2017-11-01,105.8,5.8,106.4
2017-12-01,104.9,4.9,106.3
2018-01-01,104.3,4.3,104.3
2018-02-01,103.7,3.7,104.0
2018-03-01,103.1,3.1,103.7
2018-04-01,103.4,3.4,103.6
2018-05-01,104.1,4.1,103.7
2018-06-01,104.7,4.7,103.9
2018-07-01,104.6,4.6,104.0
2018-08-01,104.1,4.1,104.0
2018-09-01,103.6,3.6,104.0
2018-10-01,103.3,3.3,103.9
2018-11-01,102.7,2.7,103.8
2018-12-01,100.9,0.9,103.5
2019-01-01,100.1,0.1,100.1
2019-02-01,100.1,0.1,100.1
2019-03-01,100.4,0.4,100.2
2019-04-01,100.9,0.9,100.3
2019-05-01,100.6,0.6,100.4
2019-06-01,100.0,0.0,100.3
2019-07-01,99.7,-0.3,100.2
2019-08-01,99.2,-0.8,100.1
2019-09-01,98.8,-1.2,100.0
2019-10-01,98.4,-1.6,99.8
2019-11-01,98.6,-1.4,99.7
2019-12-01,99.5,-0.5,99.7
2020-01-01,100.1,0.1,100.1
2020-02-01,99.6,-0.4,99.8
2020-03-01,98.5,-1.5,99.4
2020-04-01,96.9,-3.1,98.8
2020-05-01,96.3,-3.7,98.3
2020-06-01,97.0,-3.0,98.1
2020-07-01,97.6,-2.4,98.0
2020-08-01,98.0,-2.0,98.0
2020-09-01,97.9,-2.1,98.0
2020-10-01,97.9,-2.1,98.0
2020-11-01,98.5,-1.5,98.0
2020-12-01,99.6,-0.4,98.2
2021-01-01,100.3,0.3,100.3
2021-02-01,101.7,1.7,101.0
2021-03-01,104.4,4.4,102.1
2021-04-01,106.8,6.8,103.3
2021-05-01,109.0,9.0,104.4
2021-06-01,108.8,8.8,105.1
2021-07-01,109.0,9.0,105.7
2021-08-01,109.5,9.5,106.2
2021-09-01,110.7,10.7,106.7
2021-10-01,113.5,13.5,107.3
2021-11-01,112.9,12.9,107.9
2021-12-01,110.3,10.3,108.1
2022-01-01,109.1,9.1,109.1
2022-02-01,108.8,8.8,108.9
2022-03-01,108.3,8.3,108.7
2022-04-01,108.0,8.0,108.5
2022-05-01,106.4,6.4,108.1
2022-06-01,106.1,6.1,107.7
2022-07-01,104.2,4.2,107.2
2022-08-01,102.3,2.3,106.6
2022-09-01,100.9,0.9,105.9397
2022-10-01,98.7,-1.3,105.2
2022-11-01,98.7,-1.3,104.6
2022-12-01,99.3,-0.7,104.1
2023-01-01,99.2,-0.8,99.2
2023-02-01,98.6,-1.4,98.9
2023-03-01,97.5,-2.5,98.4
2023-04-01,96.4,-3.6,97.9
2023-05-01,95.4,-4.6,97.4
2023-06-01,94.6,-5.4,96.9
2023-07-01,95.6,-4.4,96.8
2023-08-01,97.0,-3.0,96.8
2023-09-01,97.5,-2.5,96.9
2023-10-01,97.4,-2.6,96.9
2023-11-01,97.0,-3.0,96.9
2023-12-01,97.3,-2.7,97.0
2024-01-01,97.5,-2.5,97.5
2024-02-01,97.3,-2.7,97.4
2024-03-01,97.2,-2.8,97.3
2024-04-01,97.5,-2.5,97.3
2024-05-01,98.6,-1.4,97.6
2024-06-01,99.2,-0.8,97.9
2024-07-01,99.2,-0.8,98.0
2024-08-01,98.2,-1.8,98.1
2024-09-01,97.2,-2.8,98.0
2024-10-01,97.1,-2.9,97.8931
2024-11-01,97.5,-2.5,97.9
2024-12-01,97.7,-2.3,97.8
2025-01-01,97.7,-2.3,97.7
2025-02-01,97.8,-2.2,97.8
2025-03-01,97.5,-2.5,97.7
2025-04-01,97.3,-2.7,97.6
2025-05-01,96.7,-3.3,97.4
2025-06-01,96.4,-3.6,97.2
2025-07-01,96.4,-3.6,97.1
2025-08-01,97.1,-2.9,97.1
2025-09-01,97.7,-2.3,97.2
2025-10-01,97.9,-2.1,97.3
2025-11-01,97.8,-2.2,97.3
2025-12-01,98.1,-1.9,97.4
