date,price,material,unit,region,source
2015-12-31,93.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2016-12-31,96.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2017-12-31,115.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2018-12-31,102.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2019-12-31,98.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2020-12-31,104.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2021-12-31,126.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2022-12-31,105.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2023-12-31,101.5,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2024-12-31,106.4,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2025-12-31,106.3,有色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
