date,price,material,unit,region,source
2015-12-31,95.0,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2016-12-31,100.5,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2017-12-31,119.5,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2018-12-31,108.5,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2019-12-31,100.3,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2020-12-31,102.5,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2021-12-31,126.5,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2022-12-31,105.8,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2023-12-31,96.5,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2024-12-31,93.6,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
2025-12-31,92.3,黑色金属冶炼,指数(上年=100),全国,国家统计局（公开估算）
