date,price,material,unit,region,source
2015-12-31,88.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2016-12-31,95.0,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2017-12-31,118.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2018-12-31,108.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2019-12-31,108.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2020-12-31,108.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2021-12-31,145.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2022-12-31,102.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2023-12-31,95.5,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2024-12-31,101.1,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
2025-12-31,94.2,黑色金属矿采选,指数(上年=100),全国,国家统计局（公开估算）
